epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8675,1.16805,2.15177,1.39262,0.66868,0.506,0.47255,0.29527,1.15035,2.25393,1.65427,0.000329365,0.000329365,0.000329365
2,58.6417,1.25409,1.48519,1.4489,0.6679,0.47245,0.49833,0.28677,1.42464,2.76807,1.82011,0.000660512,0.000660512,0.000660512
3,85.8875,1.28964,1.45112,1.44617,0.63526,0.49037,0.49598,0.28933,1.42124,3.76022,1.84669,0.000989458,0.000989458,0.000989458
4,112.658,1.25377,1.39215,1.40727,0.7659,0.67283,0.67576,0.44738,1.21478,1.7862,1.58338,0.0009901,0.0009901,0.0009901
5,139.568,1.23873,1.31807,1.39679,0.81017,0.56512,0.63151,0.41901,1.33262,1.59001,1.56389,0.0009868,0.0009868,0.0009868
6,166.47,1.1933,1.21021,1.3596,0.8734,0.68784,0.74342,0.49364,1.21543,0.91784,1.46361,0.0009835,0.0009835,0.0009835
7,193.681,1.19121,1.2031,1.34085,0.89041,0.70434,0.74947,0.53957,1.03782,0.93064,1.3166,0.0009802,0.0009802,0.0009802
8,220.681,1.18211,1.16036,1.33473,0.84413,0.73627,0.7626,0.52898,1.08461,0.8245,1.31673,0.0009769,0.0009769,0.0009769
9,247.919,1.14271,1.09671,1.31705,0.79244,0.67063,0.69031,0.46772,1.16843,0.94951,1.44787,0.0009736,0.0009736,0.0009736
10,276.371,1.10372,1.04447,1.29068,0.74622,0.57158,0.62162,0.4504,1.13954,1.16541,1.36755,0.0009703,0.0009703,0.0009703
11,306.828,1.1208,1.06785,1.30046,0.89146,0.76061,0.78139,0.56735,0.97276,0.67619,1.25657,0.000967,0.000967,0.000967
12,337.18,1.08469,1.02495,1.27988,0.89475,0.74915,0.76624,0.56481,0.95945,0.71498,1.25101,0.0009637,0.0009637,0.0009637
13,366.869,1.08112,0.96034,1.27553,0.91703,0.77478,0.78802,0.56695,1.02613,0.8867,1.29831,0.0009604,0.0009604,0.0009604
14,395.241,1.07817,0.97562,1.27425,0.90117,0.77477,0.80018,0.59391,0.93846,0.59747,1.22438,0.0009571,0.0009571,0.0009571
15,423.386,1.07277,0.93309,1.25968,0.93184,0.77637,0.78086,0.58015,0.93822,0.60171,1.22,0.0009538,0.0009538,0.0009538
16,451.704,1.06305,0.95701,1.26872,0.91785,0.76147,0.77421,0.56971,0.98819,0.62463,1.2753,0.0009505,0.0009505,0.0009505
17,480.453,1.04583,0.92064,1.25982,0.94414,0.79167,0.79798,0.58974,0.93042,0.56153,1.20581,0.0009472,0.0009472,0.0009472
18,510.748,1.03841,0.87215,1.2391,0.88982,0.78408,0.78648,0.57583,0.97111,0.60698,1.24798,0.0009439,0.0009439,0.0009439
19,539.908,1.0456,0.89439,1.24305,0.89612,0.74518,0.76669,0.56295,0.96483,0.61659,1.24474,0.0009406,0.0009406,0.0009406
20,568.205,1.01598,0.88756,1.2264,0.93433,0.79875,0.79633,0.59026,0.93059,0.54237,1.20171,0.0009373,0.0009373,0.0009373
21,597.048,1.02176,0.85608,1.217,0.9293,0.7785,0.77839,0.58366,0.91707,0.5507,1.21668,0.000934,0.000934,0.000934
22,626.459,1.0228,0.85264,1.2344,0.93874,0.78003,0.79829,0.58407,0.97028,0.56413,1.20536,0.0009307,0.0009307,0.0009307
23,661.039,1.03711,0.87757,1.2437,0.9022,0.75865,0.7572,0.55145,0.98001,0.63334,1.24082,0.0009274,0.0009274,0.0009274
24,691.147,1.02139,0.86904,1.23534,0.91321,0.77833,0.79393,0.57908,0.97127,0.55519,1.24145,0.0009241,0.0009241,0.0009241
25,721.314,1.01655,0.8583,1.22425,0.94758,0.77808,0.80346,0.60537,0.91913,0.5205,1.18878,0.0009208,0.0009208,0.0009208
26,752.069,0.99681,0.82072,1.22302,0.9522,0.77383,0.7953,0.59804,0.8914,0.50872,1.17819,0.0009175,0.0009175,0.0009175
27,782.507,0.97582,0.77984,1.20236,0.93796,0.78946,0.79727,0.5959,0.94547,0.52314,1.21492,0.0009142,0.0009142,0.0009142
28,813.554,1.0077,0.81955,1.21845,0.93434,0.78964,0.79236,0.57306,0.98514,0.55951,1.23175,0.0009109,0.0009109,0.0009109
29,844.123,1.00982,0.80139,1.21594,0.93092,0.78586,0.79356,0.60789,0.87777,0.52683,1.17725,0.0009076,0.0009076,0.0009076
30,874.678,1.03035,0.81716,1.23586,0.93777,0.80092,0.8021,0.60694,0.89919,0.49804,1.1876,0.0009043,0.0009043,0.0009043
31,905.104,0.98717,0.79482,1.21347,0.93295,0.78338,0.79747,0.60335,0.88781,0.52517,1.16882,0.000901,0.000901,0.000901
32,936.187,0.97728,0.76978,1.19554,0.92679,0.70753,0.78067,0.57858,0.97106,0.6903,1.23172,0.0008977,0.0008977,0.0008977
33,969.179,0.97979,0.77873,1.19722,0.94211,0.77807,0.79402,0.59437,0.94904,0.53159,1.1898,0.0008944,0.0008944,0.0008944
34,1002.31,0.98338,0.76578,1.19581,0.93967,0.78958,0.79543,0.60695,0.89402,0.48165,1.1647,0.0008911,0.0008911,0.0008911
35,1034.68,0.96881,0.77984,1.1814,0.93185,0.77148,0.7862,0.58873,0.921,0.51368,1.17573,0.0008878,0.0008878,0.0008878
36,1066.13,0.97436,0.74194,1.19972,0.94885,0.79132,0.80534,0.61114,0.91891,0.49148,1.17457,0.0008845,0.0008845,0.0008845
37,1096.6,0.9818,0.76153,1.2031,0.94583,0.786,0.79663,0.60237,0.91689,0.51846,1.18763,0.0008812,0.0008812,0.0008812
38,1127.32,0.98582,0.76091,1.19932,0.95496,0.78463,0.79284,0.60218,0.89559,0.50359,1.18258,0.0008779,0.0008779,0.0008779
39,1155.7,0.96052,0.7227,1.18899,0.94958,0.79194,0.79509,0.60558,0.89602,0.49931,1.16592,0.0008746,0.0008746,0.0008746
40,1183.99,0.98675,0.74067,1.20558,0.94374,0.78989,0.79179,0.60628,0.88455,0.52337,1.17252,0.0008713,0.0008713,0.0008713
41,1212.31,0.96226,0.72862,1.19436,0.95494,0.79885,0.79515,0.59587,0.91415,0.49869,1.18681,0.000868,0.000868,0.000868
42,1241.59,0.97162,0.72621,1.19831,0.94075,0.79292,0.7926,0.59374,0.89359,0.47797,1.17893,0.0008647,0.0008647,0.0008647
43,1270.98,0.96903,0.75978,1.19986,0.96141,0.80564,0.80407,0.611,0.90914,0.47598,1.18395,0.0008614,0.0008614,0.0008614
44,1299.57,0.96476,0.76559,1.18553,0.9514,0.79661,0.80311,0.60496,0.88575,0.46004,1.16355,0.0008581,0.0008581,0.0008581
45,1328.89,0.94975,0.73234,1.18027,0.94879,0.79935,0.81021,0.61206,0.90711,0.4742,1.15909,0.0008548,0.0008548,0.0008548
46,1357.49,0.95125,0.72581,1.18527,0.95731,0.78951,0.79973,0.60898,0.89392,0.49136,1.16947,0.0008515,0.0008515,0.0008515
47,1386.71,0.93948,0.71312,1.17188,0.94321,0.79555,0.79858,0.61305,0.88055,0.47223,1.1465,0.0008482,0.0008482,0.0008482
48,1415.18,0.93862,0.71133,1.17312,0.95545,0.77694,0.79004,0.60134,0.88564,0.49614,1.16114,0.0008449,0.0008449,0.0008449
49,1443.65,0.95027,0.71885,1.18642,0.95849,0.78728,0.80592,0.61546,0.87345,0.45218,1.16198,0.0008416,0.0008416,0.0008416
50,1472.07,0.94451,0.69404,1.18142,0.95165,0.79322,0.80394,0.59825,0.93347,0.47801,1.19395,0.0008383,0.0008383,0.0008383
51,1500.3,0.93863,0.6852,1.18333,0.9478,0.79285,0.79447,0.60513,0.91407,0.47625,1.19536,0.000835,0.000835,0.000835
52,1528.9,0.93634,0.68553,1.16981,0.95309,0.80587,0.80398,0.6146,0.8932,0.44762,1.17696,0.0008317,0.0008317,0.0008317
53,1557.7,0.93213,0.69554,1.17125,0.94762,0.7902,0.80275,0.61602,0.87574,0.45455,1.16247,0.0008284,0.0008284,0.0008284
54,1586.23,0.92063,0.68407,1.17017,0.94341,0.78492,0.79616,0.61517,0.89125,0.49269,1.15987,0.0008251,0.0008251,0.0008251
55,1614.45,0.91263,0.67649,1.16304,0.95911,0.79696,0.80307,0.61247,0.86601,0.46884,1.13578,0.0008218,0.0008218,0.0008218
56,1643.01,0.92678,0.68695,1.15225,0.9484,0.7957,0.80288,0.61517,0.85769,0.44761,1.16439,0.0008185,0.0008185,0.0008185
57,1671.41,0.92307,0.68055,1.16004,0.94988,0.79703,0.79764,0.61678,0.8765,0.45678,1.15221,0.0008152,0.0008152,0.0008152
58,1700.1,0.91396,0.662,1.15881,0.95947,0.80487,0.80939,0.62581,0.85012,0.42372,1.1491,0.0008119,0.0008119,0.0008119
59,1728.61,0.92051,0.6838,1.16947,0.94532,0.80199,0.8031,0.61721,0.85276,0.45183,1.15858,0.0008086,0.0008086,0.0008086
60,1757.18,0.92245,0.67818,1.16772,0.95341,0.80254,0.79752,0.61019,0.88163,0.45262,1.15903,0.0008053,0.0008053,0.0008053
61,1785.72,0.92153,0.65321,1.163,0.95206,0.80177,0.80037,0.61795,0.85442,0.43678,1.15354,0.000802,0.000802,0.000802
62,1814.22,0.92718,0.65969,1.17104,0.94058,0.79345,0.80426,0.61615,0.89055,0.46457,1.17229,0.0007987,0.0007987,0.0007987
63,1843.3,0.92603,0.65295,1.15985,0.95147,0.80633,0.8053,0.62351,0.85444,0.45089,1.13898,0.0007954,0.0007954,0.0007954
64,1872.14,0.92168,0.6698,1.16639,0.94029,0.80297,0.80808,0.6181,0.87205,0.45448,1.13925,0.0007921,0.0007921,0.0007921
65,1900.88,0.91998,0.66226,1.15717,0.96461,0.79776,0.80469,0.62415,0.86007,0.41955,1.15125,0.0007888,0.0007888,0.0007888
66,1929.61,0.92039,0.67476,1.15867,0.94684,0.79159,0.79725,0.6064,0.90445,0.46144,1.19059,0.0007855,0.0007855,0.0007855
67,1958.39,0.92106,0.6553,1.16859,0.95489,0.80539,0.80489,0.6158,0.87529,0.43995,1.1556,0.0007822,0.0007822,0.0007822
68,1986.77,0.89375,0.62804,1.14583,0.9484,0.79648,0.79769,0.61947,0.83951,0.42679,1.14996,0.0007789,0.0007789,0.0007789
69,2015.31,0.9301,0.64158,1.1582,0.95331,0.79699,0.79901,0.62324,0.84896,0.43389,1.15248,0.0007756,0.0007756,0.0007756
70,2043.74,0.90694,0.64001,1.15774,0.95828,0.78787,0.7997,0.62079,0.86944,0.44903,1.14835,0.0007723,0.0007723,0.0007723
71,2072.41,0.90388,0.63749,1.14904,0.9513,0.79836,0.80334,0.61517,0.87775,0.45042,1.15063,0.000769,0.000769,0.000769
72,2100.91,0.91248,0.64807,1.14727,0.94633,0.79358,0.80193,0.62037,0.85164,0.44609,1.14953,0.0007657,0.0007657,0.0007657
73,2129.42,0.90068,0.6155,1.14488,0.94771,0.80541,0.80772,0.6198,0.89946,0.43288,1.16725,0.0007624,0.0007624,0.0007624
74,2157.88,0.9019,0.6356,1.15069,0.95218,0.78209,0.80419,0.6205,0.87522,0.4456,1.14818,0.0007591,0.0007591,0.0007591
75,2186.55,0.89392,0.62749,1.15573,0.95767,0.79718,0.79799,0.61082,0.8865,0.43676,1.17968,0.0007558,0.0007558,0.0007558
76,2215.05,0.90384,0.62988,1.15245,0.96203,0.80301,0.8041,0.62238,0.8521,0.42717,1.14705,0.0007525,0.0007525,0.0007525
77,2243.73,0.89409,0.65458,1.14587,0.95117,0.78767,0.79199,0.60688,0.8642,0.46921,1.1781,0.0007492,0.0007492,0.0007492
78,2272.4,0.90137,0.63953,1.14057,0.94875,0.80592,0.8021,0.62042,0.84844,0.42947,1.13957,0.0007459,0.0007459,0.0007459
